cusip,ric,Company Common Name,trbc_economic_sector,trbc_business_sector,trbc_industry_group,trbc_industry
004816104,ACU.A,Acme United Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
004848107,,,,,,
00484M106,,,,,,
00486H105,ADTN.OQ,ADTRAN Holdings Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
004890109,ACRV.OQ,Acrivon Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00489C103,AQ.A^G13,Acquity Group Ltd,Technology,Technology Equipment,Communications & Networking,Communications & Networking
00489Q102,ACR.N,Acres Commercial Realty Corp,Real Estate,Real Estate,Residential & Commercial REITs,Specialized REITs
004930202,,,,,,
005029103,ACRO.N^L23,Acropolis Infrastructure Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
005029111,ACRO_t.N^L23,Acropolis Infrastructure Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00506P103,ACTI.OQ^L10,Actividentity Corp,Technology,Software & IT Services,Software & IT Services,Software
00507E107,ACTS.O^L16,Actions Semiconductor Co Ltd,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
00507K103,,,,,,
00507V109,ATVI.OQ^J23,Activision Blizzard Inc,Technology,Software & IT Services,Software & IT Services,Online Services
00507W206,ATNM.A,Actinium Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
005083100,ACTU.OQ,Actuate Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00508B102,BIRT.OQ^A15,Actuate Corp,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
00508X203,,,,,,
00508Y102,AYI.N,Acuity Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures
005098108,GOLF.N,Acushnet Holdings Corp,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Recreational Products
00509G209,ABOS.OQ,Acumen Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00510L106,,,,,,
00510N102,TIC.N,TIC Solutions Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
005111109,AFIB.PK,Acutus Medical Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
005125109,,,,,,
005208103,,,,,,
005329107,ADAG.OQ,Adagene Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00534A102,IVVD.OQ,Invivyd Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00547W208,,,,,,
00548A106,ADMS.OQ^K21,Adamas Pharmaceuticals LLC,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
006351308,AE.A^B25,Adams Resources & Energy Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing
00635P107,ARXT.OQ^B08,Adams Respiratory Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00650F109,ADPT.OQ,Adaptive Biotechnologies Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00653A107,ADAPY.PK,Adaptimmune Therapeutics PLC,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00653H102,,,,,,
00653Q102,AHCO.OQ,Adapthealth Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
00653Q110,AHCOW.PK^I20,Adapthealth Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
006739106,ADUS.OQ,Addus Homecare Corp,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
00676P107,ADEA.OQ,Adeia Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
006854202,ADEP.OQ^J15,Omron Robotics & Safety Technologies Inc,Technology,Technology Equipment,Integrated Hardware & Software,Integrated Hardware & Software
006855100,ADPTQ.PK^J17,Adeptus Health Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
006864102,ADZA.OQ^D07,CYTYC Prenatal Products Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
00687D101,IOTS.OQ^F20,Renesas Design US Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
007002108,ACET.OQ,Adicet Bio Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
007024102,ADEX.A^A24,Griid Infrastructure Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Blockchain & Cryptocurrency
007094105,,,,,,
00724F101,ADBE.OQ,Adobe Inc,Technology,Software & IT Services,Software & IT Services,Software
00724X102,ADLR.OQ^L11,Adolor Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00737L103,CVSA.N,Covista Inc,Academic & Educational Services,Academic & Educational Services,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers
00738A106,,,,,,
00739D109,ADTH.OQ^F24,AdTheorent Holding Company Inc,Technology,Software & IT Services,Software & IT Services,Software
00739D117,ADTHW.OQ^F24,AdTheorent Holding Company Inc,Technology,Software & IT Services,Software & IT Services,Software
00739L101,,,,,,
00739W107,AEA.N^D12,Purpose Financial Inc,Financials,Banking & Investment Services,Banking Services,Consumer Lending
00751Y106,AAP.N,Advance Auto Parts Inc,Consumer Cyclicals,Retailers,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers"
00756M404,ASX.N^D18,Advanced Semiconductor Engineering Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
00760J108,AEHR.OQ,Aehr Test Systems,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing
007624208,,,,,,
00762W107,ABCO.OQ^K17,Advisory Board Co,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing
00763M108,EYE.N^B09,Johnson & Johnson Surgical Vision Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
00765F101,,,,,,
00765H107,,,,,,
00766T100,ACM.N,AECOM,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering
00767E102,AEGR.O^K16,Amryt Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00768Y412,HDGE.P,AdvisorShares Ranger Equity Bear ETF,,,,
00768Y453,MSOS.P,AdvisorShares Pure US Cannabis ETF,,,,
0076CA104,AEG.N,Aegon Ltd,Financials,Insurance,Insurance,Life & Health Insurance
00770C101,ARQ.OQ,Arq Inc,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
00770F104,AEGN.OQ^E21,Azuria Water Solutions Inc,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering
00770K202,AMTX.OQ,Aemetis Inc,Energy,Renewable Energy,Renewable Energy,Renewable Fuels
00771V108,AERI.OQ^K22,Aerie Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00773J103,,,,,,
00773J202,SYRE.OQ,Spyre Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00773T101,ASIX.N,AdvanSix Inc,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
00773U108,,,,,,
00773U207,ADVM.OQ^L25,Adverum Biotechnologies Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
007744105,MKULQ.PK^C24,MKUL Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment
00775W102,ARBG.OQ^H23,Aequi Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00775W110,ARBGW.OQ^H23,Aequi Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00775W201,ARBGU.OQ^H23,Aequi Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
007767106,ARX.N^I14,Aeroflex Holding Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
00777J109,AMPI.N^L22,Advanced Merger Partners Inc,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00777J117,AMPIW.PK^L22,Advanced Merger Partners Inc,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00777J208,AMPI_u.N^L22,Advanced Merger Partners Inc,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
007786106,HIVE.N^H19,Aerohive Networks Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
007800105,AJRD.N^G23,Aerojet Rocketdyne Holdings Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
00782L107,APFH.K^F17,Advancepierre Foods Holdings Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing
007865108,,,,,,
00788A105,ADNH.PK,Advent Technologies Holdings Inc,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services
00788A113,ADNWW.PK^B26,Advent Technologies Holdings Inc,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services
007903107,AMD.OQ,Advanced Micro Devices Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
00790R104,WMS.N,Advanced Drainage Systems Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures
00790X101,ADSW.N^J20,Advanced Disposal Services Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment
00791N102,ADV.OQ,Advantage Solutions Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing
00791N110,ADVWW.OQ^J25,Advantage Solutions Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing
00791X118,AEON_t.A^D24,Aeon Biopharma Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
007924103,,,,,,
007973100,AEIS.OQ,Advanced Energy Industries Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
007974108,ADVS.OQ^G15,Advent Software Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech)
008064206,JBIO.OQ,Jade Biosciences Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
008073108,AVAV.OQ,AeroVironment Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
00808Y307,,,,,,
00809C106,,,,,,
